,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year
79,Total all ages,30598,848,3590,10,72,188,578,707,2707,132,44,3988,120,497,101,372,953,342,66,114,2240,1.0,102,2576,645,38,2767,1,11212,0.0,25,,,RHODE ISLAND,2013
80,Under 18,15418,656,4277,33,62,187,374,729,3413,103,32,2468,11,69,3,184,507,437,6,87,2079,0.0,17,99,532,74,2139,0,1749,0.0,24,261.0,4599031.0,SOUTH CAROLINA,2013
81,Total all ages,181016,7607,30727,295,347,1320,5645,4460,25399,726,142,19673,1508,4692,364,2251,3018,2033,473,453,28838,102.0,1480,18919,7855,9519,14052,581,26847,0.0,24,,,SOUTH CAROLINA,2013
82,Under 18,4868,66,892,1,2,1,62,93,733,55,11,400,0,42,5,32,181,43,1,17,813,0.0,123,80,1058,3,243,0,702,0.0,167,112.0,777314.0,SOUTH DAKOTA,2013
83,Total all ages,35061,780,3301,12,33,35,700,357,2763,161,20,3542,95,649,29,102,517,179,67,69,5382,7.0,329,6328,4242,85,2038,290,6863,0.0,167,,,SOUTH DAKOTA,2013
84,Under 18,28585,1705,5878,13,80,433,1179,1060,4510,265,43,5087,54,137,8,61,1246,499,4,163,2780,52.0,57,118,782,237,2476,0,5371,0.0,1870,454.0,6413655.0,TENNESSEE,2013
85,Total all ages,371938,17896,45903,361,353,2189,14993,6715,37063,1927,198,32477,1940,7165,727,701,4399,3351,1507,799,46923,344.0,3146,26276,7191,17612,9598,26,142087,0.0,1870,,,TENNESSEE,2013
86,Under 18,85922,3491,20849,30,194,1217,2050,3362,16599,727,161,12809,89,274,21,105,2547,717,89,639,12304,15.0,91,456,2690,1583,7322,134,15610,0.0,4087,889.0,25561086.0,TEXAS,2013
87,Total all ages,931814,29631,128617,648,1572,6642,20769,15671,108288,4167,491,99345,5302,9102,439,840,9678,10042,6597,3799,133711,402.0,5003,78352,17120,92767,20602,906,275472,0.0,4087,,,TEXAS,2013
88,Under 18,17991,257,4062,1,46,50,160,241,3684,100,37,1531,13,58,3,142,974,220,8,347,1716,0.0,19,85,1168,137,1303,29,4983,0.0,936,124.0,2782447.0,UTAH,2013
