,Year,State,Age,CommercialSexAct,InvoluntaryServitude,TotalTraffick
234,2020,FLORIDA,Total all ages,15130,859,15989
235,2020,FLORIDA,Under 18,128,0,128
236,2020,GEORGIA,Total all ages,10808,1965,12773
237,2020,HAWAII,Total all ages,704,0,704
238,2020,IDAHO,Total all ages,217,50,267
239,2020,ILLINOIS,Total all ages,896,564,1460
240,2020,INDIANA,Total all ages,1984,512,2496
241,2020,INDIANA,Under 18,64,0,64
242,2020,KENTUCKY,Total all ages,921,94,1015
243,2020,KENTUCKY,Under 18,15,0,15
244,2020,LOUISIANA,Total all ages,512,192,704
245,2020,MAINE,Total all ages,192,0,192
246,2020,MARYLAND,Total all ages,1216,64,1280
247,2020,MASSACHUSETTS,Total all ages,1493,318,1811
248,2020,MICHIGAN,Total all ages,2542,263,2805
249,2020,MINNESOTA,Total all ages,3841,776,4617
250,2020,MISSISSIPPI,Total all ages,64,0,64
251,2020,MISSOURI,Total all ages,2632,192,2824
252,2020,MONTANA,Total all ages,256,0,256
253,2020,NEBRASKA,Total all ages,128,64,192
254,2020,NEVADA,Total all ages,13376,320,13696
255,2020,NEVADA,Under 18,64,0,64
256,2020,NEW HAMPSHIRE,Total all ages,252,192,444
257,2020,NEW JERSEY,Total all ages,430,50,480
258,2020,NEW JERSEY,Under 18,64,0,64
259,2020,NEW MEXICO,Total all ages,256,128,384
260,2020,NEW YORK,Total all ages,128,0,128
261,2020,NORTH CAROLINA,Total all ages,1920,1914,3834
262,2020,NORTH CAROLINA,Under 18,64,0,64
263,2020,NORTH DAKOTA,Total all ages,738,128,866
264,2020,OHIO,Total all ages,1088,128,1216
265,2020,OKLAHOMA,Total all ages,1088,192,1280
266,2020,OREGON,Total all ages,1724,205,1929
267,2020,PENNSYLVANIA,Total all ages,348,126,474
268,2020,RHODE ISLAND,Total all ages,192,0,192
269,2020,SOUTH CAROLINA,Total all ages,1201,371,1572
270,2020,SOUTH DAKOTA,Total all ages,128,0,128
271,2020,TENNESSEE,Total all ages,2752,256,3008
272,2020,TEXAS,Total all ages,24063,8640,32703
273,2020,TEXAS,Under 18,384,512,896
274,2020,UTAH,Total all ages,3712,332,4044
275,2020,VERMONT,Total all ages,64,0,64
276,2020,VIRGINIA,Total all ages,2855,860,3715
277,2020,WASHINGTON,Total all ages,4480,790,5270
278,2020,WASHINGTON DC,Total all ages,8,0,8
279,2020,WEST VIRGINIA,Total all ages,2279,0,2279
280,2020,WEST VIRGINIA,Under 18,25,0,25
