,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year,TotalNonTraffickSex
78,Under 18,7301,355,842,12,18,63,262,147,597,77,21,1755,3,27,1,12,525,100,0,41,538,0,18,124,406,0,684,0,1640,0,230,67,3568504,ARIZONA,2021,59
79,Total all ages,90161,3619,9573,103,126,363,3027,1153,7622,697,101,11505,194,610,54,314,3285,982,64,178,9457,0,351,11932,1909,0,8093,129,27682,0,230,0,0,ARIZONA,2021,304
80,Over 18,82860,3264,8731,91,108,300,2765,1006,7025,620,80,9750,191,583,53,302,2760,882,64,137,8919,0,333,11808,1503,0,7409,129,26042,0,0,0,0,ARIZONA,2021,245
81,Under 18,9197,302,2516,4,34,78,186,473,1981,54,8,1458,8,28,1,86,253,124,4,52,830,0,1,67,333,95,864,0,1932,0,243,230,2746564,ARKANSAS,2013,86
82,Total all ages,138054,4013,16631,95,211,650,3057,2762,13443,369,57,11022,804,1584,27,1022,1308,997,198,192,11391,39,314,7811,2355,8628,3292,565,65618,0,243,0,0,ARKANSAS,2013,403
83,Over 18,128857,3711,14115,91,177,572,2871,2289,11462,315,49,9564,796,1556,26,936,1055,873,194,140,10561,39,313,7744,2022,8533,2428,565,63686,0,0,0,0,ARKANSAS,2013,317
84,Under 18,7936,340,2121,2,45,83,210,390,1644,81,6,1443,12,27,1,110,253,100,1,26,676,0,3,59,264,85,562,0,1649,0,204,251,2631837,ARKANSAS,2014,71
85,Total all ages,119850,3998,15484,86,243,582,3087,2176,12845,413,50,10590,724,1256,44,1138,1252,898,222,118,11168,8,277,6844,1918,5912,2462,542,54791,0,204,0,0,ARKANSAS,2014,361
86,Over 18,111914,3658,13363,84,198,499,2877,1786,11201,332,44,9147,712,1229,43,1028,999,798,221,92,10492,8,274,6785,1654,5827,1900,542,53142,0,0,0,0,ARKANSAS,2014,290
87,Under 18,8163,409,2158,12,46,76,275,344,1739,49,26,1369,8,34,1,136,280,89,3,33,748,0,2,62,270,86,401,0,1774,0,300,258,2686917,ARKANSAS,2015,79
88,Total all ages,127083,4667,15771,123,273,589,3682,1977,13357,364,73,11084,700,1145,54,1277,1350,886,271,134,12700,1,223,6919,1890,6710,2185,731,58085,0,300,0,0,ARKANSAS,2015,407
89,Over 18,118920,4258,13613,111,227,513,3407,1633,11618,315,47,9715,692,1111,53,1141,1070,797,268,101,11952,1,221,6857,1620,6624,1784,731,56311,0,0,0,0,ARKANSAS,2015,328
90,Under 18,8045,424,1801,10,44,91,279,414,1308,74,5,1433,8,31,1,163,298,123,0,35,770,0,10,44,219,87,470,0,1765,0,363,271,2786173,ARKANSAS,2016,79
91,Total all ages,132165,4860,13791,143,289,561,3867,2174,11084,488,45,11849,813,1114,64,1437,1460,1040,277,119,15736,8,354,6703,1769,6589,2425,890,60504,0,363,0,0,ARKANSAS,2016,408
92,Over 18,124120,4436,11990,133,245,470,3588,1760,9776,414,40,10416,805,1083,63,1274,1162,917,277,84,14966,8,344,6659,1550,6502,1955,890,58739,0,0,0,0,ARKANSAS,2016,329
93,Under 18,7878,459,1562,15,46,101,297,386,1083,88,5,1443,15,29,5,144,287,126,0,18,876,0,6,32,205,85,609,0,1667,0,310,264,2760388,ARKANSAS,2017,64
94,Total all ages,123971,4715,12355,138,238,563,3776,2026,9686,603,40,11347,830,893,54,1766,1510,1106,172,92,17515,13,293,5988,1475,6247,2469,315,54506,0,310,0,0,ARKANSAS,2017,330
95,Over 18,116093,4256,10793,123,192,462,3479,1640,8603,515,35,9904,815,864,49,1622,1223,980,172,74,16639,13,287,5956,1270,6162,1860,315,52839,0,0,0,0,ARKANSAS,2017,266
96,Under 18,7697,427,1423,6,48,82,291,291,1030,93,9,1668,18,33,4,187,311,114,1,17,925,0,3,50,158,74,579,0,1446,0,259,241,2640116,ARKANSAS,2018,65
97,Total all ages,120240,4650,12516,141,238,474,3797,1748,10118,594,56,11688,820,852,49,1736,1544,1112,136,83,17954,6,434,5761,1265,5035,2301,303,51736,0,259,0,0,ARKANSAS,2018,321
98,Over 18,112543,4223,11093,135,190,392,3506,1457,9088,501,47,10020,802,819,45,1549,1233,998,135,66,17029,6,431,5711,1107,4961,1722,303,50290,0,0,0,0,ARKANSAS,2018,256
99,Under 18,7809,445,1425,11,38,78,318,230,1090,96,9,1700,21,27,1,155,264,109,0,19,823,0,3,55,158,70,690,0,1607,0,237,248,2665648,ARKANSAS,2019,57
100,Total all ages,117237,5050,13433,166,289,475,4120,1896,10889,585,63,11609,837,839,52,1715,1804,1035,83,74,17844,24,324,6108,1221,5604,2574,320,46450,0,237,0,0,ARKANSAS,2019,363
101,Over 18,109428,4605,12008,155,251,397,3802,1666,9799,489,54,9909,816,812,51,1560,1540,926,83,55,17021,24,321,6053,1063,5534,1884,320,44843,0,0,0,0,ARKANSAS,2019,306
102,Under 18,5173,415,920,25,49,80,261,205,647,62,6,1060,6,27,1,166,189,96,1,13,562,0,5,43,88,30,351,0,1034,0,166,249,2730633,ARKANSAS,2020,62
