,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year,TotalNonTraffickSex
1059,Under 18,12374,497,3361,23,43,166,265,483,2754,97,27,2010,8,55,7,165,522,334,10,42,1757,6,7,90,396,68,1434,0,1582,0,23,415,4085854,SOUTH CAROLINA,2015,85
1060,Total all ages,151136,6061,24120,248,295,1009,4509,3066,20228,721,105,16051,1182,3079,363,1754,2678,1752,561,298,25666,122,1189,16272,6216,7721,9044,504,26480,0,23,0,0,SOUTH CAROLINA,2015,593
1061,Over 18,138762,5564,20759,225,252,843,4244,2583,17474,624,78,14041,1174,3024,356,1589,2156,1418,551,256,23909,116,1182,16182,5820,7653,7610,504,24898,0,0,0,0,SOUTH CAROLINA,2015,508
1062,Under 18,12987,682,3308,35,63,258,326,614,2527,145,22,2116,11,74,9,162,456,434,7,63,2080,3,8,90,286,71,1447,0,1649,0,31,434,4794988,SOUTH CAROLINA,2016,126
1063,Total all ages,158298,6929,24138,293,411,1200,5025,3385,19664,968,121,16445,1130,3452,325,1996,2794,2251,578,319,30020,51,1237,15947,5014,6956,8738,425,29522,0,31,0,0,SOUTH CAROLINA,2016,730
1064,Over 18,145311,6247,20830,258,348,942,4699,2771,17137,823,99,14329,1119,3378,316,1834,2338,1817,571,256,27940,48,1229,15857,4728,6885,7291,425,27873,0,0,0,0,SOUTH CAROLINA,2016,604
1065,Under 18,12279,616,2881,17,69,214,316,537,2184,143,17,2162,13,68,17,143,451,435,5,56,2090,0,8,93,297,69,1318,0,1525,0,32,346,3920047,SOUTH CAROLINA,2017,125
1066,Total all ages,153573,6500,23848,253,378,1133,4736,3149,19592,1006,101,14146,1138,3200,358,1952,2552,2247,381,295,32266,39,1139,15446,4239,6113,8330,484,28868,0,32,0,0,SOUTH CAROLINA,2017,673
1067,Over 18,141294,5884,20967,236,309,919,4420,2612,17408,863,84,11984,1125,3132,341,1809,2101,1812,376,239,30176,39,1131,15353,3942,6044,7012,484,27343,0,0,0,0,SOUTH CAROLINA,2017,548
1068,Under 18,10803,616,2328,28,106,179,303,455,1692,148,33,1969,8,50,21,151,299,415,1,48,1957,0,11,69,283,64,1103,0,1377,0,33,373,4408967,SOUTH CAROLINA,2018,154
1069,Total all ages,152664,6970,22900,287,532,1209,4942,3116,18578,1070,136,15413,1115,3333,348,2366,2473,2594,285,284,34105,70,1167,15188,4092,5722,8101,588,25517,0,33,0,0,SOUTH CAROLINA,2018,816
1070,Over 18,141861,6354,20572,259,426,1030,4639,2661,16886,922,103,13444,1107,3283,327,2215,2174,2179,284,236,32148,70,1156,15119,3809,5658,6998,588,24140,0,0,0,0,SOUTH CAROLINA,2018,662
1071,Under 18,9403,582,1918,21,86,160,315,369,1395,133,21,2227,12,50,12,123,334,389,0,43,1375,0,10,36,169,58,865,0,1189,0,11,254,4344727,SOUTH CAROLINA,2019,129
1072,Total all ages,136075,6625,22443,298,439,1010,4878,2815,18515,1006,107,14931,1121,3125,400,2201,2644,2706,269,263,29084,47,927,7796,3730,5307,7939,562,23944,0,11,0,0,SOUTH CAROLINA,2019,702
1073,Over 18,126672,6043,20525,277,353,850,4563,2446,17120,873,86,12704,1109,3075,388,2078,2310,2317,269,220,27709,47,917,7760,3561,5249,7074,562,22755,0,0,0,0,SOUTH CAROLINA,2019,573
1074,Under 18,5416,485,1181,39,64,147,235,268,795,103,15,974,4,42,14,123,294,268,1,29,826,0,8,42,95,30,287,0,687,0,26,240,4367377,SOUTH CAROLINA,2020,93
1075,Total all ages,122532,6630,18917,359,385,912,4974,2556,15208,1033,120,13720,798,2332,203,2336,2594,2914,167,224,25577,23,753,10521,3077,3121,7031,432,21136,0,26,0,0,SOUTH CAROLINA,2020,609
1076,Over 18,117116,6145,17736,320,321,765,4739,2288,14413,930,105,12746,794,2290,189,2213,2300,2646,166,195,24751,23,745,10479,2982,3091,6744,432,20449,0,0,0,0,SOUTH CAROLINA,2020,516
1077,Under 18,6970,536,980,35,60,147,294,172,686,114,8,1935,6,42,6,133,325,425,0,41,987,0,16,25,151,0,476,0,870,0,16,178,4731543,SOUTH CAROLINA,2021,101
1078,Total all ages,119278,6834,15932,444,424,812,5154,2346,12389,1082,115,14954,737,2086,187,2214,2836,3441,60,259,25233,49,812,7037,3103,0,6472,375,26641,0,16,0,0,SOUTH CAROLINA,2021,683
1079,Over 18,112308,6298,14952,409,364,665,4860,2174,11703,968,107,13019,731,2044,181,2081,2511,3016,60,218,24246,49,796,7012,2952,0,5996,375,25771,0,0,0,0,SOUTH CAROLINA,2021,582
1080,Under 18,4868,66,892,1,2,1,62,93,733,55,11,400,0,42,5,32,181,43,1,17,813,0,123,80,1058,3,243,0,702,0,167,112,777314,SOUTH DAKOTA,2013,19
1081,Total all ages,35061,780,3301,12,33,35,700,357,2763,161,20,3542,95,649,29,102,517,179,67,69,5382,7,329,6328,4242,85,2038,290,6863,0,167,0,0,SOUTH DAKOTA,2013,102
1082,Over 18,30193,714,2409,11,31,34,638,264,2030,106,9,3142,95,607,24,70,336,136,66,52,4569,7,206,6248,3184,82,1795,290,6161,0,0,0,0,SOUTH DAKOTA,2013,83
1083,Under 18,4363,75,920,0,8,8,59,85,788,40,7,390,0,62,10,30,125,29,0,16,781,0,148,56,719,9,340,0,574,0,79,120,761716,SOUTH DAKOTA,2014,24
1084,Total all ages,35375,866,3565,9,51,59,747,309,3099,130,27,3631,75,627,35,90,452,145,51,49,5406,0,367,5990,3100,111,2285,420,8031,0,79,0,0,SOUTH DAKOTA,2014,100
1085,Over 18,31012,791,2645,9,43,51,688,224,2311,90,20,3241,75,565,25,60,327,116,51,33,4625,0,219,5934,2381,102,1945,420,7457,0,0,0,0,SOUTH DAKOTA,2014,76
1086,Under 18,4982,61,856,1,8,9,43,85,696,64,11,485,2,59,7,27,160,31,0,15,948,0,135,88,835,12,400,1,737,0,123,117,790395,SOUTH DAKOTA,2015,23
1087,Total all ages,48048,1190,3638,17,52,67,1054,283,3118,210,27,4222,70,725,34,111,516,210,50,64,7058,1,500,7305,3757,4833,2895,430,10316,0,123,0,0,SOUTH DAKOTA,2015,116
1088,Over 18,43066,1129,2782,16,44,58,1011,198,2422,146,16,3737,68,666,27,84,356,179,50,49,6110,1,365,7217,2922,4821,2495,429,9579,0,0,0,0,SOUTH DAKOTA,2015,93
1089,Under 18,5016,106,1000,0,3,11,92,103,770,122,5,492,2,44,8,35,135,49,1,13,847,0,388,77,569,14,330,0,786,0,120,107,789651,SOUTH DAKOTA,2016,16
1090,Total all ages,47214,1291,3554,23,44,57,1167,352,2897,289,16,4447,96,664,38,177,466,255,26,53,7912,0,766,7196,2596,2538,2454,436,12126,3,120,0,0,SOUTH DAKOTA,2016,97
1091,Over 18,42198,1185,2554,23,41,46,1075,249,2127,167,11,3955,94,620,30,142,331,206,25,40,7065,0,378,7119,2027,2524,2124,436,11340,3,0,0,0,SOUTH DAKOTA,2016,81
1092,Under 18,6656,131,809,1,8,13,109,108,591,106,4,544,5,53,2,49,211,74,0,28,979,0,653,88,804,220,576,1,1247,11,171,75,729800,SOUTH DAKOTA,2017,36
1093,Total all ages,63625,1748,3283,16,79,88,1565,445,2512,311,15,4931,102,731,37,225,624,334,33,92,8900,1,2361,8164,4999,6939,3596,565,15720,69,171,0,0,SOUTH DAKOTA,2017,171
1094,Over 18,56969,1617,2474,15,71,75,1456,337,1921,205,11,4387,97,678,35,176,413,260,33,64,7921,1,1708,8076,4195,6719,3020,564,14473,58,0,0,0,SOUTH DAKOTA,2017,135
1095,Under 18,4886,92,657,1,8,17,66,89,506,55,7,689,2,63,4,26,196,95,0,10,819,0,242,51,447,0,408,0,1010,0,75,114,816012,SOUTH DAKOTA,2018,18
1096,Total all ages,44268,1046,2866,11,43,72,920,294,2348,201,23,4451,124,816,31,152,536,250,15,51,8108,1,490,5891,2164,99,2409,616,14077,0,75,0,0,SOUTH DAKOTA,2018,94
1097,Over 18,39382,954,2209,10,35,55,854,205,1842,146,16,3762,122,753,27,126,340,155,15,41,7289,1,248,5840,1717,99,2001,616,13067,0,0,0,0,SOUTH DAKOTA,2018,76
1098,Under 18,4791,112,546,2,9,13,88,48,413,79,6,657,2,51,4,47,156,107,0,15,754,0,237,60,516,3,476,0,986,0,62,106,816216,SOUTH DAKOTA,2019,24
1099,Total all ages,44252,1138,2656,15,56,57,1010,285,2078,278,15,4801,162,777,24,179,537,279,19,48,7926,1,583,5522,1581,116,2525,628,14688,0,62,0,0,SOUTH DAKOTA,2019,104
1100,Over 18,39461,1026,2110,13,47,44,922,237,1665,199,9,4144,160,726,20,132,381,172,19,33,7172,1,346,5462,1065,113,2049,628,13702,0,0,0,0,SOUTH DAKOTA,2019,80
1101,Under 18,3842,141,442,1,4,11,125,47,294,96,5,554,2,40,4,62,119,42,0,9,574,0,189,80,467,100,298,0,651,0,68,117,823677,SOUTH DAKOTA,2020,13
1102,Total all ages,48621,1974,2364,24,35,68,1847,299,1656,383,26,4974,124,576,18,256,489,272,5,51,7298,1,1038,5980,2210,6805,2379,559,11178,2,68,0,0,SOUTH DAKOTA,2020,86
1103,Over 18,44779,1833,1922,23,31,57,1722,252,1362,287,21,4420,122,536,14,194,370,230,5,42,6724,1,849,5900,1743,6705,2081,559,10527,2,0,0,0,SOUTH DAKOTA,2020,73
1104,Under 18,3542,106,227,0,7,7,92,20,153,43,11,452,0,17,3,21,108,88,3,13,449,0,220,107,306,0,559,0,843,0,20,61,679305,SOUTH DAKOTA,2021,20
1105,Total all ages,44544,1175,1194,9,37,44,1085,191,733,248,22,3969,128,550,11,152,352,321,8,41,5402,3,812,6143,1405,0,3390,598,18870,0,20,0,0,SOUTH DAKOTA,2021,78
1106,Over 18,41002,1069,967,9,30,37,993,171,580,205,11,3517,128,533,8,131,244,233,5,28,4953,3,592,6036,1099,0,2831,598,18027,0,0,0,0,SOUTH DAKOTA,2021,58
1107,Under 18,28585,1705,5878,13,80,433,1179,1060,4510,265,43,5087,54,137,8,61,1246,499,4,163,2780,52,57,118,782,237,2476,0,5371,0,1870,454,6413655,TENNESSEE,2013,243
1108,Total all ages,371938,17896,45903,361,353,2189,14993,6715,37063,1927,198,32477,1940,7165,727,701,4399,3351,1507,799,46923,344,3146,26276,7191,17612,9598,26,142087,0,1870,0,0,TENNESSEE,2013,1152
1109,Over 18,343353,16191,40025,348,273,1756,13814,5655,32553,1662,155,27390,1886,7028,719,640,3153,2852,1503,636,44143,292,3089,26158,6409,17375,7122,26,136716,0,0,0,0,TENNESSEE,2013,909
1110,Under 18,25985,1689,5380,21,73,381,1214,858,4175,284,63,4554,53,172,17,69,1014,469,0,112,2460,29,75,174,922,172,2269,0,4814,0,1541,460,6410225,TENNESSEE,2014,185
1111,Total all ages,358850,17122,44517,309,352,2068,14393,5947,36210,2124,236,31152,1692,6666,763,744,4626,2971,1369,620,41493,189,3393,26657,6907,17348,8442,7,140631,0,1541,0,0,TENNESSEE,2014,972
1112,Over 18,332865,15433,39137,288,279,1687,13179,5089,32035,1840,173,26598,1639,6494,746,675,3612,2502,1369,508,39033,160,3318,26483,5985,17176,6173,7,135817,0,0,0,0,TENNESSEE,2014,787
1113,Under 18,24113,1596,4807,39,73,381,1103,813,3630,326,38,4240,57,130,17,75,1312,426,0,121,2294,32,56,112,633,180,1990,0,4349,0,1686,423,6339882,TENNESSEE,2015,194
1114,Total all ages,335281,16399,42241,311,340,1906,13842,5286,34613,2213,129,29779,1833,6065,801,797,4843,2472,1272,654,38486,143,3829,23150,5577,15927,7184,10,132133,0,1686,0,0,TENNESSEE,2015,994
1115,Over 18,311168,14803,37434,272,267,1525,12739,4473,30983,1887,91,25539,1776,5935,784,722,3531,2046,1272,533,36192,111,3773,23038,4944,15747,5194,10,127784,0,0,0,0,TENNESSEE,2015,800
1116,Under 18,22110,1401,4060,21,42,364,974,815,2766,421,58,4106,45,142,4,117,1036,391,0,116,2501,39,55,143,586,141,1912,0,4080,0,1235,455,6454266,TENNESSEE,2016,158
1117,Total all ages,339280,16142,37897,301,291,1936,13614,5322,29785,2606,184,29825,1876,5797,707,1038,4563,2741,1161,568,44185,170,4036,22563,4278,14029,7079,25,139365,0,1235,0,0,TENNESSEE,2016,859
1118,Over 18,317170,14741,33837,280,249,1572,12640,4507,27019,2185,126,25719,1831,5655,703,921,3527,2350,1161,452,41684,131,3981,22420,3692,13888,5167,25,135285,0,0,0,0,TENNESSEE,2016,701
1119,Under 18,22282,1459,4399,30,49,422,958,754,3020,573,52,4118,45,131,16,133,1017,408,0,133,2591,12,47,109,532,129,1793,0,3996,0,1214,449,6505139,TENNESSEE,2017,182
1120,Total all ages,350912,14682,38394,358,351,1839,12134,5143,29649,3422,180,32076,1802,5336,664,1496,4571,3081,955,621,47826,148,4289,19495,3836,15073,6749,5,148599,0,1214,0,0,TENNESSEE,2017,972
1121,Over 18,328630,13223,33995,328,302,1417,11176,4389,26629,2849,128,27958,1757,5205,648,1363,3554,2673,955,488,45235,136,4242,19386,3304,14944,4956,5,144603,0,0,0,0,TENNESSEE,2017,790
1122,Under 18,19692,1421,3843,46,103,410,862,506,2690,624,23,3922,59,111,26,147,777,423,0,105,2380,9,30,104,394,165,1422,0,3517,0,837,437,6363426,TENNESSEE,2018,208
1123,Total all ages,330989,14353,38557,380,435,1797,11741,4458,30141,3822,136,30862,1690,5043,716,1611,4177,2869,527,545,47876,71,4361,19108,3245,13627,5968,10,134936,0,837,0,0,TENNESSEE,2018,980
1124,Over 18,311297,12932,34714,334,332,1387,10879,3952,27451,3198,113,26940,1631,4932,690,1464,3400,2446,527,440,45496,62,4331,19004,2851,13462,4546,10,131419,0,0,0,0,TENNESSEE,2018,772
1125,Under 18,19687,1377,3717,28,105,461,783,532,2379,767,39,4059,40,139,19,122,843,435,0,125,2177,3,24,94,362,144,1403,0,3902,0,702,450,6521263,TENNESSEE,2019,230
1126,Total all ages,321922,14335,36938,363,461,1687,11824,4621,28156,4006,155,31568,1970,4907,806,1519,4276,2673,503,548,45206,54,3268,18980,2957,13034,5678,10,131990,0,702,0,0,TENNESSEE,2019,1009
1127,Over 18,302235,12958,33221,335,356,1226,11041,4089,25777,3239,116,27509,1930,4768,787,1397,3433,2238,503,423,43029,51,3244,18886,2595,12890,4275,10,128088,0,0,0,0,TENNESSEE,2019,779
1128,Under 18,12090,885,2463,19,49,267,550,347,1436,659,21,2412,12,76,16,109,578,294,0,65,1415,2,17,103,210,79,576,0,2336,0,442,443,6075815,TENNESSEE,2020,114
1129,Total all ages,235233,12729,30012,340,307,1342,10740,3988,22193,3687,144,25563,1311,3533,437,1705,3769,2526,297,412,37188,31,1703,17040,1633,8884,3962,9,82047,0,442,0,0,TENNESSEE,2020,719
1130,Over 18,223143,11844,27549,321,258,1075,10190,3641,20757,3028,123,23151,1299,3457,421,1596,3191,2232,297,347,35773,29,1686,16937,1423,8805,3386,9,79711,0,0,0,0,TENNESSEE,2020,605
1131,Under 18,14622,989,1746,33,53,252,651,256,949,515,26,3506,17,96,22,156,696,466,0,98,1792,1,18,100,221,0,918,0,3393,0,387,273,6716048,TENNESSEE,2021,151
1132,Total all ages,255863,13174,25096,380,361,1190,11243,3748,17586,3587,175,27343,1376,3434,399,1931,4117,3486,363,481,41579,39,2129,17916,1928,0,4379,4,106302,0,387,0,0,TENNESSEE,2021,842
1133,Over 18,241241,12185,23350,347,308,938,10592,3492,16637,3072,149,23837,1359,3338,377,1775,3421,3020,363,383,39787,38,2111,17816,1707,0,3461,4,102909,0,0,0,0,TENNESSEE,2021,691
1134,Under 18,85922,3491,20849,30,194,1217,2050,3362,16599,727,161,12809,89,274,21,105,2547,717,89,639,12304,15,91,456,2690,1583,7322,134,15610,0,4087,889,25561086,TEXAS,2013,833
1135,Total all ages,931814,29631,128617,648,1572,6642,20769,15671,108288,4167,491,99345,5302,9102,439,840,9678,10042,6597,3799,133711,402,5003,78352,17120,92767,20602,906,275472,0,4087,0,0,TEXAS,2013,5371
1136,Over 18,845892,26140,107768,618,1378,5425,18719,12309,91689,3440,330,86536,5213,8828,418,735,7131,9325,6508,3160,121407,387,4912,77896,14430,91184,13280,772,259862,0,0,0,0,TEXAS,2013,4538
1137,Under 18,71377,3360,19029,45,299,1073,1943,2981,15076,832,140,10747,83,232,23,198,2406,637,93,476,11719,29,145,434,1872,1331,2107,155,13353,0,2948,984,26646809,TEXAS,2014,775
1138,Total all ages,849887,29135,122822,710,1912,5995,20518,14273,103547,4494,508,91686,4866,7817,501,1079,8989,9246,4891,3547,135683,593,5207,70482,12931,75764,12141,1065,248494,0,2948,0,0,TEXAS,2014,5459
1139,Over 18,778510,25775,103793,665,1613,4922,18575,11292,88471,3662,368,80939,4783,7585,478,881,6583,8609,4798,3071,123964,564,5062,70048,11059,74433,10034,910,235141,0,0,0,0,TEXAS,2014,4684
1140,Under 18,68279,3743,18754,52,312,1471,1908,2953,14535,1135,131,11751,107,242,42,176,2035,726,62,467,10177,25,121,384,1436,1112,1906,217,12093,0,2703,965,26993502,TEXAS,2015,779
1141,Total all ages,808119,31493,117371,749,2095,6956,21693,12895,98494,5528,454,95433,4844,6818,659,952,8480,10861,4987,3244,131851,669,4845,64971,9720,68148,9905,800,229365,0,2703,0,0,TEXAS,2015,5339
1142,Over 18,739840,27750,98617,697,1783,5485,19785,9942,83959,4393,323,83682,4737,6576,617,776,6445,10135,4925,2777,121674,644,4724,64587,8284,67036,7999,583,217272,0,0,0,0,TEXAS,2015,4560
1143,Under 18,65539,3938,14953,62,375,1422,2079,2590,11155,1101,107,12047,135,275,153,181,1779,843,53,431,10612,15,95,421,1596,1104,1836,61,12532,0,2479,973,27089093,TEXAS,2016,806
1144,Total all ages,820979,31989,95012,889,2311,7056,21733,12201,76604,5795,412,94190,4659,6515,918,1057,8120,12375,4506,3005,140314,490,4264,67950,10928,71819,10520,2194,247675,0,2479,0,0,TEXAS,2016,5316
1145,Over 18,755440,28051,80059,827,1936,5634,19654,9611,65449,4694,305,82143,4524,6240,765,876,6341,11532,4453,2574,129702,475,4169,67529,9332,70715,8684,2133,235143,0,0,0,0,TEXAS,2016,4510
1146,Under 18,57417,3723,12398,63,355,1477,1828,2156,9144,995,103,10027,107,222,109,192,1558,858,40,459,9997,17,190,419,1187,783,1284,30,11516,0,2301,909,25980682,TEXAS,2017,814
1147,Total all ages,745719,30372,78504,839,2247,6519,20767,10570,62387,5093,454,90763,4287,5764,794,899,7178,12954,4482,2804,136796,355,4005,64784,8775,62434,8477,872,218119,0,2301,0,0,TEXAS,2017,5051
1148,Over 18,688302,26649,66106,776,1892,5042,18939,8414,53243,4098,351,80736,4180,5542,685,707,5620,12096,4442,2345,126799,338,3815,64365,7588,61651,7193,842,206603,0,0,0,0,TEXAS,2017,4237
1149,Under 18,55458,3946,10127,67,363,1242,2274,1560,7577,926,64,11680,121,320,36,157,1525,895,34,380,9893,15,153,349,1072,567,1144,21,11378,0,1645,876,26829159,TEXAS,2018,743
1150,Total all ages,729902,34166,74627,747,2068,5708,25643,9009,60263,4952,403,92541,4332,6320,447,862,7246,12968,3987,2442,139188,304,3931,69643,8237,54286,7549,497,204684,0,1645,0,0,TEXAS,2018,4510
1151,Over 18,674444,30220,64500,680,1705,4466,23369,7449,52686,4026,339,80861,4211,6000,411,705,5721,12073,3953,2062,129295,289,3778,69294,7165,53719,6405,476,193306,0,0,0,0,TEXAS,2018,3767
1152,Under 18,49409,4400,9351,79,330,1438,2553,1414,6802,1041,94,10062,104,247,24,99,1354,739,22,271,8464,13,280,281,916,492,960,8,10101,0,1221,791,25983457,TEXAS,2019,601
1153,Total all ages,624840,33962,68132,698,1988,5539,25737,8256,54410,5038,428,73057,3808,6637,305,718,6787,11076,2999,1501,115658,295,3500,64161,6907,44330,6451,501,172833,1,1221,0,0,TEXAS,2019,3489
1154,Over 18,575431,29562,58781,619,1658,4101,23184,6842,47608,3997,334,62995,3704,6390,281,619,5433,10337,2977,1230,107194,282,3220,63880,5991,43838,5491,493,162732,1,0,0,0,TEXAS,2019,2888
1155,Under 18,32451,3117,6177,82,253,1158,1624,1063,4053,996,65,6435,55,180,12,97,1033,821,12,148,4297,4,165,405,622,318,538,5,6938,0,1072,827,26746620,TEXAS,2020,401
1156,Total all ages,489316,30678,53286,923,1656,5087,23012,7655,39550,5637,444,73456,2553,4706,210,804,6062,12916,1474,1049,82337,155,3124,55964,4647,29367,5245,660,119551,0,1072,0,0,TEXAS,2020,2705
1157,Over 18,456865,27561,47109,841,1403,3929,21388,6592,35497,4641,379,67021,2498,4526,198,707,5029,12095,1462,901,78040,151,2959,55559,4025,29049,4707,655,112613,0,0,0,0,TEXAS,2020,2304
1158,Under 18,33195,3030,4498,132,294,921,1683,704,2866,870,58,8090,70,206,18,95,922,1079,5,158,4743,1,111,330,543,0,707,0,8133,0,456,922,28232533,TEXAS,2021,452
1159,Total all ages,524958,30998,51046,1108,1758,4616,23516,7241,36586,6681,538,80235,2045,5486,211,1015,7216,16960,1918,865,83839,152,2140,62233,4992,0,5474,710,166967,0,456,0,0,TEXAS,2021,2623
1160,Over 18,491763,27968,46548,976,1464,3695,21833,6537,33720,5811,480,72145,1975,5280,193,920,6294,15881,1913,707,79096,151,2029,61903,4449,0,4767,710,158834,0,0,0,0,TEXAS,2021,2171
1161,Under 18,17991,257,4062,1,46,50,160,241,3684,100,37,1531,13,58,3,142,974,220,8,347,1716,0,19,85,1168,137,1303,29,4983,0,936,124,2782447,UTAH,2013,393
1162,Total all ages,131389,2064,18253,33,164,371,1496,1103,16721,365,64,10317,729,977,26,1068,3161,1114,177,850,13377,3,1423,9038,6930,4076,4361,55,52454,0,936,0,0,UTAH,2013,1014
1163,Over 18,113398,1807,14191,32,118,321,1336,862,13037,265,27,8786,716,919,23,926,2187,894,169,503,11661,3,1404,8953,5762,3939,3058,26,47471,0,0,0,0,UTAH,2013,621
1164,Under 18,16659,260,3818,2,59,46,153,229,3438,105,46,1469,7,39,2,94,955,225,31,323,1784,0,23,156,935,143,1014,18,4447,2,914,118,2858405,UTAH,2014,382
1165,Total all ages,118405,2206,19420,43,235,440,1488,1098,17828,410,84,9833,723,1026,31,998,2979,1080,193,808,14630,0,1274,8063,5981,4219,3615,74,40335,3,914,0,0,UTAH,2014,1043
1166,Over 18,101746,1946,15602,41,176,394,1335,869,14390,305,38,8364,716,987,29,904,2024,855,162,485,12846,0,1251,7907,5046,4076,2601,56,35888,1,0,0,0,UTAH,2014,661
1167,Under 18,14984,273,3463,2,72,51,148,201,3120,117,25,1385,15,48,4,97,839,233,11,265,1671,0,68,157,787,82,932,6,3833,2,813,117,2832325,UTAH,2015,337
1168,Total all ages,115453,2418,19416,29,244,439,1706,1153,17745,450,68,9857,722,1051,34,1081,2857,1137,190,740,14913,1,1414,8813,4431,3182,3459,39,38792,93,813,0,0,UTAH,2015,984
1169,Over 18,100469,2145,15953,27,172,388,1558,952,14625,333,43,8472,707,1003,30,984,2018,904,179,475,13242,1,1346,8656,3644,3100,2527,33,34959,91,0,0,0,UTAH,2015,647
1170,Under 18,13187,268,2740,2,75,51,140,165,2463,82,30,1305,7,30,0,94,694,205,16,214,1786,0,36,196,675,80,807,27,3538,2,467,109,2801231,UTAH,2016,289
1171,Total all ages,102988,2252,16044,50,258,413,1531,935,14617,421,71,8780,680,886,21,1053,2631,844,191,600,15111,4,1297,8713,3860,2909,2809,40,33791,5,467,0,0,UTAH,2016,858
1172,Over 18,89801,1984,13304,48,183,362,1391,770,12154,339,41,7475,673,856,21,959,1937,639,175,386,13325,4,1261,8517,3185,2829,2002,13,30253,3,0,0,0,UTAH,2016,569
1173,Under 18,11259,304,2390,1,64,68,171,149,2086,125,30,1110,10,43,4,106,652,135,10,217,1696,0,28,143,708,66,421,18,2842,0,356,114,2646000,UTAH,2017,281
1174,Total all ages,104741,2252,14526,48,204,404,1596,882,13064,519,61,7870,746,957,32,1225,2364,896,379,656,17556,4,1426,7980,3570,2672,2201,38,37023,12,356,0,0,UTAH,2017,860
1175,Over 18,93482,1948,12136,47,140,336,1425,733,10978,394,31,6760,736,914,28,1119,1712,761,369,439,15860,4,1398,7837,2862,2606,1780,20,34181,12,0,0,0,UTAH,2017,579
1176,Under 18,12307,374,2523,6,76,93,199,148,2187,163,25,1238,11,43,4,113,732,140,14,262,2258,1,24,92,670,57,354,0,3075,1,321,109,2670944,UTAH,2018,338
1177,Total all ages,104886,2327,14038,36,306,398,1587,890,12545,541,62,7972,704,1007,35,940,2868,839,374,686,19562,1,1428,7119,3826,2677,2280,63,35815,4,321,0,0,UTAH,2018,992
1178,Over 18,92579,1953,11515,30,230,305,1388,742,10358,378,37,6734,693,964,31,827,2136,699,360,424,17304,0,1404,7027,3156,2620,1926,63,32740,3,0,0,0,UTAH,2018,654
1179,Under 18,11334,337,2330,5,92,59,181,182,2016,97,35,1473,4,50,10,68,790,175,17,220,1968,0,34,139,574,44,330,0,2538,0,233,106,2858860,UTAH,2019,312
1180,Total all ages,91685,2619,14165,54,340,354,1871,869,12813,398,85,8590,618,831,48,898,2906,870,185,693,14479,3,1617,5082,3240,2945,2353,54,29251,5,233,0,0,UTAH,2019,1033
1181,Over 18,80351,2282,11835,49,248,295,1690,687,10797,301,50,7117,614,781,38,830,2116,695,168,473,12511,3,1583,4943,2666,2901,2023,54,26713,5,0,0,0,UTAH,2019,721
1182,Under 18,7869,252,1423,5,59,58,130,102,1214,88,19,863,2,34,1,89,588,91,1,124,1325,0,16,208,546,40,228,4,1832,0,202,103,2856632,UTAH,2020,183
1183,Total all ages,82809,2631,11356,60,291,345,1935,788,10058,438,72,7849,493,706,35,1152,2778,868,69,498,12474,1,1762,8372,2634,1795,1828,36,25269,1,202,0,0,UTAH,2020,789
1184,Over 18,74940,2379,9933,55,232,287,1805,686,8844,350,53,6986,491,672,34,1063,2190,777,68,374,11149,1,1746,8164,2088,1755,1600,32,23437,1,0,0,0,UTAH,2020,606
1185,Under 18,7520,293,1380,8,96,31,158,73,1197,81,29,975,4,36,3,61,637,80,1,118,1358,0,21,89,403,0,189,0,1585,0,287,105,2934855,UTAH,2021,214
1186,Total all ages,82552,2710,10266,55,358,319,1978,723,9083,374,86,8459,402,644,17,938,2907,798,50,414,13712,0,1457,7491,2426,0,2068,13,27493,0,287,0,0,UTAH,2021,772
1187,Over 18,75032,2417,8886,47,262,288,1820,650,7886,293,57,7484,398,608,14,877,2270,718,49,296,12354,0,1436,7402,2023,0,1879,13,25908,0,0,0,0,UTAH,2021,558
1188,Under 18,779,34,144,0,8,4,22,21,99,16,8,143,1,2,0,9,64,12,0,1,67,0,5,16,84,2,66,0,129,0,0,67,577603,VERMONT,2013,9
1189,Total all ages,13418,510,1989,6,59,31,414,286,1614,60,29,1462,58,271,50,177,328,22,9,37,1250,0,252,2476,243,3,743,0,3538,0,0,0,0,VERMONT,2013,96
1190,Over 18,12639,476,1845,6,51,27,392,265,1515,44,21,1319,57,269,50,168,264,10,9,36,1183,0,247,2460,159,1,677,0,3409,0,0,0,0,VERMONT,2013,87
1191,Under 18,655,31,124,0,9,2,20,32,89,1,2,141,0,2,3,6,69,7,0,7,19,0,4,10,38,0,69,0,125,0,0,61,556859,VERMONT,2014,16
1192,Total all ages,11381,473,1473,11,41,25,396,209,1220,30,14,1262,36,205,46,108,261,18,14,33,661,0,183,2189,103,1,684,0,3631,0,0,0,0,VERMONT,2014,74
