,State,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,StateR,Year
91,VERMONT,Total all ages,15719,863,1984,10,94,52,707,256,1640,74,14,1766,43,317,58,94,424,38,3,37,927,0,219,2680,57,0,941,0,5268,0,0,,,VERMONT,2019
92,VIRGINIA,Under 18,15992,751,2783,21,102,311,317,260,2317,172,34,2810,23,115,23,142,436,278,3,101,1852,2,45,68,498,108,497,0,4944,0,513,390.0,8192933.0,VIRGINIA,2019
93,VIRGINIA,Total all ages,261659,6933,26107,299,541,1315,4778,2033,22921,996,157,29706,1429,4672,1119,930,3102,4060,513,580,42502,21,1393,20402,3983,19289,2802,39,91564,0,513,,,VIRGINIA,2019
94,WASHINGTON,Under 18,10101,937,1905,15,84,411,427,388,1321,162,34,2882,5,20,2,131,755,228,3,88,852,0,4,139,510,11,168,2,1458,0,1,219.0,7114406.0,WASHINGTON,2019
95,WASHINGTON,Total all ages,169836,8144,24058,125,542,1743,5734,3808,18867,1206,177,24675,664,1252,37,2912,4372,1822,328,493,11325,3,321,27638,1597,91,2412,167,57514,10,1,,,WASHINGTON,2019
96,WEST VIRGINIA,Under 18,292,22,29,0,3,3,16,7,19,3,0,92,2,0,0,2,18,2,0,1,53,0,1,4,3,2,8,0,48,0,5,103.0,953873.0,WEST VIRGINIA,2019
97,WEST VIRGINIA,Total all ages,16932,932,1896,24,46,41,821,340,1390,151,15,2343,126,191,28,179,282,196,3,32,3683,0,100,2382,334,187,378,15,3640,0,5,,,WEST VIRGINIA,2019
98,WISCONSIN,Under 18,33383,968,3872,13,217,232,506,341,3021,468,42,2497,18,117,35,292,1532,428,6,471,2710,6,87,226,1843,0,6763,10,10200,0,1302,401.0,5480021.0,WISCONSIN,2019
99,WISCONSIN,Total all ages,224571,7637,23823,173,844,1075,5545,1691,20720,1288,124,15813,906,1996,338,1013,5250,3280,357,1360,26175,9,1916,23934,9199,0,28343,365,71555,0,1302,,,WISCONSIN,2019
100,WYOMING,Under 18,3117,42,323,0,6,0,36,48,242,31,2,461,1,8,0,4,131,12,1,28,489,0,8,36,330,4,129,31,906,0,173,53.0,510856.0,WYOMING,2019
101,WYOMING,Total all ages,26028,437,1918,7,39,23,368,231,1556,104,27,2110,29,110,1,56,468,63,19,102,4611,1,339,3181,1798,2324,807,168,7300,13,173,,,WYOMING,2019
