,Year,State,Age,Population,NumberAgencies,TotalAll,TotalTraffick,TotalNonTraffickSex,TotalProperty,TotalViolent,CommercialSex,CommercialSexAct,InvoluntaryServitude,Rape,Sex,AggravatedAssault,AllOther,Arson,Assault,Burglary,CarTheft,CurfewLoitering,DisorderlyConduct,DrugAbuse,Drunkenness,DUI,Embezzlement,FamilyChildren,ForgeryCounterfeit,Fraud,Gambling,Larceny,LiquorLaws,MurderManslaughter,Robbery,StolenProperty,Suspicion,Vagrancy,Vandalism,Weapons
96,2018,ARKANSAS,Under 18,2640116,241,7697,0,65,1423,427,1,0,0,48,17,291,1446,9,1668,291,93,259,579,925,74,50,4,3,18,33,0,1030,158,6,82,187,0,0,311,114
97,2018,ARKANSAS,Total all ages,0,0,120240,192,321,12516,4650,136,64,128,238,83,3797,51736,56,11688,1748,594,259,2301,17954,5035,5761,49,434,820,852,6,10118,1265,141,474,1736,0,303,1544,1112
98,2018,ARKANSAS,Over 18,0,0,112543,192,256,11093,4223,135,64,128,190,66,3506,50290,47,10020,1457,501,0,1722,17029,4961,5711,45,431,802,819,6,9088,1107,135,392,1549,0,303,1233,998
99,2019,ARKANSAS,Under 18,2665648,248,7809,0,57,1425,445,0,0,0,38,19,318,1607,9,1700,230,96,237,690,823,70,55,1,3,21,27,0,1090,158,11,78,155,0,0,264,109
100,2019,ARKANSAS,Total all ages,0,0,117237,128,363,13433,5050,83,64,64,289,74,4120,46450,63,11609,1896,585,237,2574,17844,5604,6108,52,324,837,839,24,10889,1221,166,475,1715,0,320,1804,1035
101,2019,ARKANSAS,Over 18,0,0,109428,128,306,12008,4605,83,64,64,251,55,3802,44843,54,9909,1666,489,0,1884,17021,5534,6053,51,321,816,812,24,9799,1063,155,397,1560,0,320,1540,926
102,2020,ARKANSAS,Under 18,2730633,249,5173,0,62,920,415,1,0,0,49,13,261,1034,6,1060,205,62,166,351,562,30,43,1,5,6,27,0,647,88,25,80,166,0,0,189,96
103,2020,ARKANSAS,Total all ages,0,0,96862,128,358,10925,5534,17,64,64,281,77,4621,37000,62,10858,1702,553,166,2027,15294,3123,4938,29,253,618,625,8,8608,872,195,437,1672,0,300,1518,1008
104,2020,ARKANSAS,Over 18,0,0,91689,128,296,10005,5119,16,64,64,232,64,4360,35966,56,9798,1497,491,0,1676,14732,3093,4895,28,248,612,598,8,7961,784,170,357,1506,0,300,1329,912
105,2021,ARKANSAS,Under 18,2857932,252,6135,0,55,745,457,1,0,0,40,15,361,1282,11,1469,194,70,172,518,719,0,43,0,3,2,10,0,470,99,21,35,148,0,0,334,118
106,2021,ARKANSAS,Total all ages,0,0,104439,384,383,9342,5660,55,384,0,285,98,4831,46796,68,11540,1653,660,172,2311,16238,0,5125,26,323,499,505,9,6961,1036,196,348,1663,0,214,1688,1139
107,2021,ARKANSAS,Over 18,0,0,98304,384,328,8597,5203,54,384,0,245,83,4470,45514,57,10071,1459,590,0,1793,15519,0,5082,26,320,497,495,9,6491,937,175,313,1515,0,214,1354,1021
108,2013,CALIFORNIA,Under 18,38284824,685,94067,205,1472,21758,8170,205,205,0,116,1356,4843,18057,371,11218,7559,1505,3883,4078,9284,1699,598,8,4,80,241,10,12323,2267,108,3103,1806,0,175,4959,4211
109,2013,CALIFORNIA,Total all ages,0,0,1212801,10260,11886,139624,101342,10260,10260,0,1600,10286,82387,295305,1091,77525,50390,13909,3883,7205,217520,90812,161055,1053,266,5598,6722,389,74234,14029,1425,15930,19613,0,7193,17445,25676
110,2013,CALIFORNIA,Over 18,0,0,1118734,10055,10414,117866,93172,10055,10055,0,1484,8930,77544,277248,720,66307,42831,12404,0,3127,208236,89113,160457,1045,262,5518,6481,379,61911,11762,1317,12827,17807,0,7018,12486,21465
